"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"TP_SIGNAL_NAME";
"2";"1.5K";"RESISTOR0603";"0603";"R9, R10";"Resistor";"";"";"";"";"";"";
"2";"100K";"RESISTOR0603";"0603";"R2, R14";"Resistor";"";"";"";"";"";"";
"1";"100R";"RESISTOR0603";"0603";"R6";"Resistor";"";"";"";"";"";"";
"7";"100nF";"CAPACITOR0603";"0603";"C1, C3, C7, C8, C9, C10, C11";"Capacitor";"";"";"";"";"";"";
"1";"10K";"RESISTOR0603";"0603";"R1";"Resistor";"";"";"";"";"";"";
"2";"10uF";"CAPACITOR0603";"0603";"C2, C4";"Capacitor";"";"";"";"";"";"";
"2";"18pF";"CAPACITOR0603";"0603";"C13, C14";"Capacitor";"";"";"";"";"";"";
"2";"33R";"RESISTOR0603";"0603";"R4, R7";"Resistor";"";"";"";"";"";"";
"2";"4.7K";"RESISTOR0603";"0603";"R3, R5";"Resistor";"";"";"";"";"";"";
"1";"470R";"RESISTOR0603";"0603";"R8";"Resistor";"";"";"";"";"";"";
"1";"47346-0001";"47346-0001";"USB-MICRO-B-H";"CON1";"USB Receptacle Horizontal Micro Type B";"MOLEX";"47346-0001";"";"538-47346-0001";"1568026";"";
"1";"BLUE";"SMD_LED0603";"CHIPLED_0603";"LED2";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"1";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"Y2";"Resonator Cermanic, Murata 8MHz 33pF";"Murata";"CSTCE8M00G55-R0";"490-1195-1-ND";"81-CSTCE8M00G55-R0";"2443270";"";
"1";"DAPULE";"DAPULE";"DAPULE";"MOD1";"";"";"";"";"";"";"";
"1";"GREEN";"SMD_LED0603";"CHIPLED_0603";"LED3";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"2";"PTR1TP07R";"PTR1TP07R";"TP07R";"TP1, TP2";"TEST PIN";"";"";"";"";"";"";
"1";"RED";"SMD_LED0603";"CHIPLED_0603";"LED1";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";
"1";"STM32F103CBT6";"STM32F103CBT6";"LQFP48";"U3";"ARM® Cortex®-M3 STM32 F1 Microcontroller IC 32-Bit 72MHz 128KB (128K x 8) FLASH";"STMicroelectronics";"STM32F103CBT6";"497-6288-ND";"511-STM32F103CBT6";"11N8296";"";
"1";"SWD-10-SMD";"SWD-10-SMD";"SWD-10-SMD";"CON4";"2.54mm pitch 10-Pin Cortex Programming Header";"";"";"";"";"";"";
"1";"TC2050-IDC-NL";"TC2050-IDC-NL";"TC2050-IDC-NL";"CON2";"Tag-Connect In Circuit Programming & Debug Cable 10 Pin";"";"";"";"";"";"";
"1";"TLV1117LV33DCYR";"TLV1117LV33DCYR";"SOT223";"U2";"LDO Fixed Regulator 3.3v, 1A";"Texas Instruments";"TLV1117LV33DCYR";"296-28778-1-ND";"595-TLV1117LV33DCYR";"2323647";"";
